,Agrostemma_githago,Centaurea_cyanus,Chrysanthemum_segetum,Lamium_purpureum,Papaver_rhoeas,Vicia_sativa,Veronica_persica,Stellaria_media,Matricaria_discoidea,Tripleurospermum_indorum,Capsella_bursa-pastoris,Spergula_arvensis,Sonchus_oleraceus,Sonchus_asper,Sonchus_arvensis,Senecio_vulgaris,Chenopodium_album,Fallopia_convolvulus,Persicaria_maculosa,Solanum_Sp.,Solanum_nigrum,Cirsium_arvense,Viola_arvensis,Lamium_amplexicaule,Sisymbrium_officinale,Polygonum_aviculare
1,3,99,241,20,0,1,72,189,51,78,40,12,1,0,0,6,0,45,21,0,0,5,0,0,0,0
2,0,138,78,29,0,0,36,80,42,0,10,0,1,10,0,16,0,30,34,0,0,0,0,0,0,35
3,0,157,492,18,2,0,44,78,26,65,5,0,9,2,0,4,0,30,96,0,0,0,0,0,0,0
4,0,247,255,92,0,2,12,80,54,58,5,0,1,6,0,49,0,27,33,0,0,0,0,0,0,0
5,3,221,276,301,0,0,40,35,60,0,5,0,5,3,0,27,0,80,28,3,0,2,0,0,0,40
6,3,210,468,354,1,8,30,31,41,4,20,0,0,0,0,74,0,0,155,0,0,0,0,0,0,0
7,1,74,72,20,0,0,22,15,1,0,5,0,4,0,0,30,10,0,110,0,0,0,0,0,0,2
8,1,87,57,9,0,0,87,10,8,0,25,0,0,0,0,10,0,84,53,0,0,0,0,0,0,0
9,6,133,442,6,0,1,150,97,6,0,5,0,0,2,1,4,0,64,10,0,0,0,0,0,0,0
10,2,194,20,8,0,0,341,50,12,0,5,0,0,3,0,46,0,62,6,0,0,0,0,0,0,0
11,3,170,97,14,0,0,213,40,5,12,0,0,0,1,0,19,0,125,0,0,0,0,0,0,0,0
12,2,175,128,4,0,0,266,60,1,60,25,15,0,0,0,114,0,124,137,0,0,0,0,0,0,0
13,2,67,150,8,0,1,386,60,217,24,70,0,8,1,15,18,0,35,79,0,0,0,0,0,0,505
14,0,124,180,49,0,0,87,25,131,38,135,8,4,0,12,15,60,0,19,0,0,0,0,0,0,0
15,1,204,429,15,0,0,41,35,39,27,342,0,39,15,9,26,70,15,16,5,0,0,0,0,0,0
16,8,142,712,14,1,0,35,102,123,130,260,0,7,0,6,31,0,5,0,0,0,0,0,4,0,0
17,4,115,589,1,5,0,9,20,82,0,170,2,3,0,0,49,80,0,0,2,0,0,0,0,0,0
18,2,132,332,2,3,0,21,5,16,0,75,0,0,0,0,13,90,0,0,0,0,0,0,0,0,0
19,7,203,591,60,5,2,173,85,70,0,195,0,1,0,0,40,50,25,0,0,0,0,0,0,71,0
20,8,253,762,60,10,0,173,52,34,0,145,0,0,4,6,39,20,23,4,0,0,0,0,0,4,0
21,6,355,702,253,4,0,351,145,105,0,70,0,0,11,3,36,10,32,0,0,0,0,0,0,0,0
22,2,152,158,16,0,0,283,51,20,0,10,0,0,3,0,96,60,65,0,6,11,0,0,0,0,0
23,31,312,723,71,4,0,475,130,115,47,5,40,0,1,2,75,30,0,0,0,0,0,0,0,0,0
24,20,138,600,67,4,2,329,41,130,100,35,33,0,0,0,99,0,30,0,0,0,0,0,0,0,0
25,0,7,307,59,3,0,85,95,10,108,20,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
26,0,17,282,75,4,0,125,95,39,60,20,0,0,0,0,0,0,5,0,8,0,0,0,0,0,15
27,0,63,509,682,2,0,210,395,7,147,50,0,0,0,0,0,0,8,28,0,0,0,0,0,0,0
28,0,52,512,1055,0,0,134,375,10,184,185,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
29,0,61,610,1113,21,0,140,213,44,0,5,0,0,0,0,0,0,30,0,2,0,0,0,0,0,0
30,0,18,771,885,0,0,45,170,22,10,25,0,0,0,0,0,0,25,10,0,0,0,0,0,50,0
31,0,58,385,27,0,0,42,11,5,15,10,0,0,0,0,4,0,10,10,2,0,0,0,0,0,0
32,0,131,951,20,18,0,135,35,20,0,25,0,0,0,0,3,0,15,5,0,0,0,0,0,0,0
33,0,0,947,163,1,3,153,276,0,0,45,0,0,0,0,0,0,65,10,0,0,0,0,0,0,0
34,0,148,522,0,0,0,203,40,10,0,10,0,0,0,0,2,0,30,0,0,0,0,0,0,35,0
35,0,157,573,0,4,0,105,5,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,131,502,4,0,0,71,3,0,0,5,0,0,0,0,2,0,5,0,0,0,1,0,0,0,0
37,0,6,999,0,0,0,575,95,230,146,120,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0
38,0,8,682,77,0,0,365,65,270,16,150,2,0,0,0,6,0,0,0,0,0,0,0,0,0,40
39,0,0,717,17,0,0,127,18,17,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
40,0,22,825,111,0,0,185,250,15,39,350,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
41,0,0,1520,5,0,0,70,25,50,60,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,40,1050,10,0,0,17,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
43,0,50,835,242,0,0,65,135,15,13,125,0,0,0,0,0,0,20,0,0,0,0,1,0,0,0
44,0,0,1103,205,0,0,222,235,14,0,155,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
45,0,15,1051,357,8,0,145,190,14,0,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,84,1098,15,0,0,25,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,11,1170,179,0,0,190,165,19,3,25,8,0,0,0,4,0,0,0,1,0,0,0,0,0,0
48,0,1,1259,318,0,0,205,380,3,46,60,8,0,0,0,12,0,0,0,0,0,0,0,0,0,0
